timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1776267027.0360074,miss,Q1,Z1,count:Z1:conf=0.0,179.7163486480713
1776267027.161683,miss,Q3,Z1,density:Z1:conf=0.7,112.56146430969238
1776267027.167569,hit,Q1,Z1,count:Z1:conf=0.0,0.6663799285888672
1776267027.218687,hit,Q3,Z1,density:Z1:conf=0.7,0.4978179931640625
1776267027.2699683,hit,Q1,Z1,count:Z1:conf=0.0,0.3306865692138672
1776267027.4236867,miss,Q1,Z1,count:Z1:conf=0.7,104.88200187683105
1776267027.5510952,miss,Q5,Z2,confidence_dist:Z2:bins=5,116.5771484375
1776267027.6613305,miss,Q3,Z2,density:Z2:conf=0.0,104.59351539611816
1776267027.7707222,miss,Q4,Z1,compare:density:Z1:Z5:conf=0.7,104.86674308776855
1776267027.8817232,miss,Q1,Z4,count:Z4:conf=0.0,105.44943809509277
1776267027.9908202,miss,Q1,Z1,count:Z1:conf=0.5,104.87246513366699
1776267028.1133711,miss,Q2,Z3,area:Z3:conf=0.7,118.15595626831055
1776267028.223185,miss,Q2,Z1,area:Z1:conf=0.7,105.77607154846191
1776267028.2276926,hit,Q1,Z1,count:Z1:conf=0.7,0.32711029052734375
1776267028.2792718,hit,Q2,Z1,area:Z1:conf=0.7,0.48542022705078125
1776267028.4334817,miss,Q5,Z4,confidence_dist:Z4:bins=5,104.64167594909668
1776267028.5434146,miss,Q2,Z1,area:Z1:conf=0.0,105.52358627319336
1776267028.5480342,hit,Q1,Z1,count:Z1:conf=0.7,0.3609657287597656
1776267028.7037957,miss,Q1,Z3,count:Z3:conf=0.7,105.04722595214844
1776267028.8127353,miss,Q5,Z1,confidence_dist:Z1:bins=10,104.53152656555176
1776267028.9220912,miss,Q4,Z2,compare:density:Z2:Z4:conf=0.5,104.37917709350586
1776267029.030743,miss,Q5,Z1,confidence_dist:Z1:bins=5,104.52866554260254
1776267029.1399212,miss,Q1,Z2,count:Z2:conf=0.5,104.4759750366211
1776267029.2486691,miss,Q2,Z2,area:Z2:conf=0.5,104.38370704650879
1776267029.357564,miss,Q4,Z1,compare:density:Z1:Z4:conf=0.5,104.30049896240234
1776267029.466969,miss,Q1,Z2,count:Z2:conf=0.7,104.38942909240723
1776267029.47286,hit,Q1,Z3,count:Z3:conf=0.7,0.4267692565917969
1776267029.5235868,hit,Q1,Z1,count:Z1:conf=0.0,0.49686431884765625
1776267029.6769195,miss,Q4,Z1,compare:density:Z1:Z2:conf=0.7,104.44402694702148
1776267029.682659,hit,Q1,Z2,count:Z2:conf=0.5,0.37741661071777344
1776267029.8377812,miss,Q2,Z1,area:Z1:conf=0.5,104.88414764404297
1776267029.8420427,hit,Q1,Z1,count:Z1:conf=0.7,0.2741813659667969
1776267029.894205,hit,Q3,Z2,density:Z2:conf=0.0,0.7319450378417969
1776267029.9443111,hit,Q1,Z4,count:Z4:conf=0.0,0.5376338958740234
1776267030.0976777,miss,Q3,Z1,density:Z1:conf=0.0,103.97505760192871
1776267030.1024253,hit,Q5,Z1,confidence_dist:Z1:bins=10,0.3962516784667969
1776267030.1539516,hit,Q1,Z1,count:Z1:conf=0.7,0.4935264587402344
1776267030.3079283,miss,Q3,Z3,density:Z3:conf=0.0,105.10778427124023
1776267030.4174297,miss,Q4,Z2,compare:density:Z2:Z5:conf=0.0,105.010986328125
1776267030.421938,hit,Q2,Z1,area:Z1:conf=0.0,0.3104209899902344
1776267030.6146219,miss,Q3,Z1,density:Z1:conf=0.5,142.2719955444336
1776267030.6193044,hit,Q1,Z3,count:Z3:conf=0.7,0.2849102020263672
1776267030.6714928,hit,Q1,Z1,count:Z1:conf=0.0,0.4658699035644531
1776267030.721402,hit,Q1,Z1,count:Z1:conf=0.5,0.3371238708496094
1776267030.772169,hit,Q2,Z1,area:Z1:conf=0.7,0.35309791564941406
1776267030.822538,hit,Q1,Z1,count:Z1:conf=0.7,0.4012584686279297
1776267030.8728697,hit,Q2,Z1,area:Z1:conf=0.7,0.39005279541015625
1776267031.0284069,miss,Q2,Z4,area:Z4:conf=0.7,105.29732704162598
1776267031.1388366,miss,Q4,Z1,compare:density:Z1:Z3:conf=0.7,104.87627983093262
1776267031.143217,hit,Q3,Z1,density:Z1:conf=0.5,0.2846717834472656
